編號,案件類型,發生日期,發生時段,發生地點,定位地點,lat,lon
1,住宅竊盜,780210,10~12,台北市中山區新生北路3段31~60號,台北市中山區新生北路3段31 號,25.0646869,121.5280576
2,住宅竊盜,951016,19~21,台北市信義區三張里莊敬路341巷1~30號,台北市信義區三張里莊敬路341巷1 號,25.028156,121.5642697
3,住宅竊盜,970609,01~03,台北市信義區松隆里松山路615巷1~30號,台北市信義區松隆里松山路615巷1 號,25.0270722,121.5827965
4,住宅竊盜,991013,22~24,台北市內湖區成功路4段331~360號,台北市內湖區成功路4段331 號,25.0844694,121.5992373
5,住宅竊盜,991024,13~15,台北市南港區東新里興南街52巷1~30號,台北市南港區東新里興南街52巷1 號,25.056811,121.603556
6,住宅竊盜,1000825,19~21,台北市大同區民權里民權西路144巷1~30號,台北市大同區民權里民權西路144巷1 號,25.0624304,121.5160515
7,住宅竊盜,1001116,19~21,台北市文山區萬年里羅斯福路5段212巷1~30號,台北市文山區萬年里羅斯福路5段212巷1 號,25.003103,121.537342
8,住宅竊盜,1010507,22~24,台北市中山區南京東路2段21巷31~60號,台北市中山區南京東路2段21巷31 號,25.0522749,121.5290334
9,住宅竊盜,1010601,07~09,台北市大安區誠安里忠孝東路3段251巷10弄1~30號,台北市大安區誠安里忠孝東路3段251巷10弄1 號,25.0433918,121.5415772
10,住宅竊盜,1010606,10~12,台北市中山區通北街65巷2弄1~30號,台北市中山區通北街65巷2弄1 號,25.0832353,121.5396547
11,住宅竊盜,1010728,22~24,台北市萬華區萬大路486巷37弄61~90號,台北市萬華區萬大路486巷37弄61 號,25.0201593,121.4959205
12,住宅竊盜,1010728,22~24,台北市萬華區萬大路486巷37弄61~90號,台北市萬華區萬大路486巷37弄61 號,25.0201593,121.4959205
13,住宅竊盜,1020101,19~21,台北市大同區雙連里萬全街103巷,台北市大同區雙連里萬全街103巷,25.05835,121.5164329
14,住宅竊盜,1020108,07~09,台北市中山區吉林路200巷23之1~30號,台北市中山區吉林路200巷23之1 號,25.0586081,121.5292583
15,住宅竊盜,1020521,10~12,台北市內湖區金豐街31~60號,台北市內湖區金豐街31 號,25.0656346,121.5871547
16,住宅竊盜,1020715,19~21,台北市內湖區大湖街166巷31~60號,台北市內湖區大湖街166巷31 號,25.0814156,121.6021959
17,住宅竊盜,1021020,10~12,台北市北投區大屯里大屯路21巷1~30號,台北市北投區大屯里大屯路21巷1 號,25.1432287,121.5001241
18,住宅竊盜,1021201,10~12,台北市大安區黎孝里和平東路3段308巷1弄1~30號,台北市大安區黎孝里和平東路3段308巷1弄1 號,25.0199469,121.556219
19,住宅竊盜,1030101,22~24,台北市中山區建國北路2段121~150號,台北市中山區建國北路2段121 號,25.059703,121.537344
20,住宅竊盜,1030102,10~12,台北市文山區景美里育英街1~30號,台北市文山區景美里育英街1 號,24.9902978,121.5395565
21,住宅竊盜,1030915,01~03,台北市萬華區長泰街91~120號,台北市萬華區長泰街91 號,25.022638,121.4993539
22,住宅竊盜,1031030,16~18,台北市北投區文化里文化三路91~120號,台北市北投區文化里文化三路91 號,25.140599,121.4981957
23,住宅竊盜,1031124,10~12,台北市中山區建國北路2段258巷1~30號,台北市中山區建國北路2段258巷1 號,25.0619183,121.5364888
24,住宅竊盜,1040101,07~09,台北市中山區新生北路一段91~120號,台北市中山區新生北路一段91號,25.0463313,121.5323976
25,住宅竊盜,1040101,10~12,台北市文山區明興里興隆路四段1~30號,台北市文山區明興里興隆路四段1號,24.989318,121.560075
26,住宅竊盜,1040101,22~24,台北市文山區萬美里萬寧街1~30號,台北市文山區萬美里萬寧街1號,25.0033593,121.5638885
